U_TECNICA;latitud;longitud;mercado;pais;provincia;localidad;portadoras;plan;plan general
ATP0001;-31,312585;-64,222444;Mediterraneo;Argentina;Córdoba;Córdoba;2;No;Sin Plan
ATP0004;-31,312585;-64,222444;Mediterraneo;Argentina;Córdoba;Córdoba;1;No;Sin Plan
BA00001;-35,164385;-60,086914;Bs.As./La Pam;Argentina;Buenos Aires;Veinticinco de Mayo;2;Carga;Sin Plan / Alta Carga
BA00003;-35,428416;-60,153671;Bs.As./La Pam;Argentina;Buenos Aires;Veinticinco de Mayo;4;No;Sin Plan
BA00006;-35,235081;-60,828417;Litoral Sur;Argentina;Buenos Aires;Nueve de Julio;2;No;Sin Plan
BA00007;-35,289349;-61,395622;Bs.As./La Pam;Argentina;Buenos Aires;Nueve de Julio;4;No;Sin Plan
BA00009;-37,26616;-56,97682;Bs.As./La Pam;Argentina;Buenos Aires;Villa Gesell;3;Carga;Sin Plan / Alta Carga
BA00010;-35,646128;-60,703021;Litoral Sur;Argentina;Buenos Aires;Nueve de Julio;1;No;Sin Plan
BA00015;-37,963457;-60,418847;Bs.As./La Pam;Argentina;Buenos Aires;Adolfo Gonzales Chaves;2;No;Sin Plan
BA00016;-37,916893;-60,068315;Bs.As./La Pam;Argentina;Buenos Aires;Adolfo Gonzales Chaves;1;No;Sin Plan
BA00018;-34,860024;-62,464726;Litoral Sur;Argentina;Buenos Aires;Florentino Ameghino;3;No;Sin Plan
BA00020;-36,730856;-59,781835;Bs.As./La Pam;Argentina;Buenos Aires;Azul;4;No;Sin Plan
BA00021;-36,394996;-59,499272;Bs.As./La Pam;Argentina;Buenos Aires;Azul;3;No;Sin Plan
BA00022;-37,351076;-59,948638;Bs.As./La Pam;Argentina;Buenos Aires;Azul;2;No;Sin Plan
BA00023;-37,047842;-59,950665;Bs.As./La Pam;Argentina;Buenos Aires;Azul;2;No;Sin Plan
BA00024;-38,655918;-62,281063;Bs.As./La Pam;Argentina;Buenos Aires;Bahía Blanca;3;No;Sin Plan
BA00025;-38,490779;-61,887052;Bs.As./La Pam;Argentina;Buenos Aires;Bahía Blanca;2;No;Restricciones para Implementar
BA00027;-33,841379;-59,453731;Litoral Sur;Argentina;Buenos Aires;Baradero;1;Si;Expansiones 2024
BA00029;-37,668921;-59,820821;Bs.As./La Pam;Argentina;Buenos Aires;Benito Juárez;4;No;Sin Plan
BA00031;-36,425049;-61,423851;Bs.As./La Pam;Argentina;Buenos Aires;Bolívar;3;No;Restricciones para Implementar
BA00032;-34,900695;-60,755741;Bs.As./La Pam;Argentina;Buenos Aires;Bragado;4;No;Sin Plan
BA00035;-34,958542;-58,090311;Bs.As./La Pam;Argentina;Buenos Aires;La Plata;3;Carga;Sin Plan / Alta Carga
BA00038;-35,065476;-58,791454;Bs.As./La Pam;Argentina;Buenos Aires;Cañuelas;4;No;Sin Plan
BA00039;-35,604567;-61,375262;Bs.As./La Pam;Argentina;Buenos Aires;Carlos Casares;4;No;Sin Plan
BA00040;-35,202775;-62,770547;Litoral Sur;Argentina;Buenos Aires;Carlos Tejedor;3;No;Restricciones para Implementar
BA00044;-34,466876;-59,992931;Litoral Sur;Argentina;Buenos Aires;Carmen de Areco;1;No;Restricciones para Implementar
BA00045;-36,118097;-57,806972;Litoral Sur;Argentina;Buenos Aires;Castelli;3;No;Sin Plan
BA00046;-34,529521;-60,295495;Litoral Sur;Argentina;Buenos Aires;Chacabuco;2;No;Sin Plan
BA00048;-35,428115;-58,069312;Bs.As./La Pam;Argentina;Buenos Aires;Chascomús;3;No;Sin Plan
BA00050;-35,634152;-57,931309;Bs.As./La Pam;Argentina;Buenos Aires;Chascomús;3;No;Sin Plan
BA00051;-35,897161;-57,881695;Bs.As./La Pam;Argentina;Buenos Aires;Lezama;3;No;Sin Plan
BA00055;-33,876572;-61,090989;Litoral Sur;Argentina;Buenos Aires;Colón;4;Si;Expansiones 2024
BA00056;-38,702746;-61,268832;Bs.As./La Pam;Argentina;Buenos Aires;Coronel Dorrego;3;No;Sin Plan
BA00058;-38,784289;-61,502424;Bs.As./La Pam;Argentina;Buenos Aires;Coronel Dorrego;1;No;Sin Plan
BA00060;-37,995396;-61,344059;Bs.As./La Pam;Argentina;Buenos Aires;Coronel Pringles;4;No;Restricciones para Implementar
BA00066;-34,337888;-59,109522;Litoral Sur;Argentina;Buenos Aires;Exaltación de la Cruz;3;Si;Sectorizaciones 2024
BA00068;-38,270099;-57,844171;Bs.As./La Pam;Argentina;Buenos Aires;General Alvarado;4;Carga;Sin Plan / Alta Carga
BA00069;-38,156405;-58,219678;Bs.As./La Pam;Argentina;Buenos Aires;General Alvarado;4;No;Sin Plan
BA00070;-36,013584;-60,008942;Bs.As./La Pam;Argentina;Buenos Aires;General Alvear;5;No;Restricciones para Implementar
